time,current_height,error,u,motor,acceleration,current_speed
44950,12.55,2.45110,4.47,1.00,0.00,1.00
44972,12.57,2.43082,4.44,1.00,0.00,1.00
44993,12.59,2.41078,4.39,1.00,0.00,1.00
45015,12.61,2.39074,4.37,1.00,0.00,1.00
45036,12.63,2.37071,4.31,1.00,0.00,1.00
45058,12.65,2.35067,4.27,1.00,0.00,1.00
45078,12.67,2.33063,4.23,1.00,0.00,1.00
45100,12.69,2.31083,4.21,1.00,0.00,1.00
45121,12.71,2.29079,4.15,1.00,0.00,1.00
45143,12.73,2.27075,4.13,1.00,0.00,1.00
45164,12.75,2.25095,4.05,1.00,0.00,1.00
45185,12.77,2.23092,4.05,1.00,0.00,1.00
45206,12.79,2.21088,3.99,1.00,0.00,1.00
45228,12.81,2.19084,3.97,1.00,0.00,1.00
45249,12.83,2.17080,3.91,1.00,0.00,1.00
45271,12.85,2.15076,3.89,1.00,0.00,1.00
45292,12.87,2.13072,3.80,1.00,0.00,1.00
45313,12.89,2.11093,3.81,1.00,0.00,1.00
45334,12.91,2.09065,3.74,1.00,0.00,1.00
45356,12.93,2.07061,3.73,1.00,0.00,1.00
45377,12.95,2.05057,3.67,1.00,0.00,1.00
45399,12.97,2.03053,3.62,1.00,0.00,1.00
45419,12.99,2.01050,3.58,1.00,0.00,1.00
45441,13.01,1.99046,3.57,1.00,0.00,1.00
45462,13.03,1.97042,3.50,1.00,0.00,1.00
45484,13.05,1.95014,3.48,1.00,0.00,1.00
45505,13.07,1.93011,3.42,1.00,0.00,1.00
45527,13.09,1.91007,3.38,1.00,0.00,1.00
45547,13.11,1.89003,3.34,1.00,0.00,1.00
45569,13.13,1.86999,3.33,1.00,0.00,1.00
45590,13.15,1.85019,3.27,1.00,0.00,1.00
45612,13.17,1.83015,3.25,1.00,0.00,1.00
45633,13.19,1.81011,3.16,1.00,0.00,1.00
45655,13.21,1.79008,3.17,1.00,0.00,1.00
45675,13.23,1.77004,3.10,1.00,0.00,1.00
45697,13.25,1.75000,3.09,1.00,0.00,1.00
45718,13.27,1.72996,3.02,1.00,0.00,1.00
45740,13.29,1.70992,3.01,1.00,0.00,1.00
45761,13.31,1.68989,2.92,1.00,0.00,1.00
45782,13.33,1.66985,2.93,1.00,0.00,1.00
45803,13.35,1.64981,2.86,1.00,0.00,1.00
45825,13.37,1.62977,2.85,1.00,0.00,1.00
45846,13.39,1.60949,2.78,1.00,0.00,1.00
45868,13.41,1.58946,2.76,1.00,0.00,1.00
45889,13.43,1.56942,2.68,1.00,0.00,1.00
45910,13.45,1.54914,2.68,1.00,0.00,1.00
45931,13.47,1.52910,2.62,1.00,0.00,1.00
45953,13.49,1.50930,2.61,1.00,0.00,1.00
45974,13.51,1.48927,2.54,1.00,0.00,1.00
45996,13.53,1.46923,2.50,1.00,0.00,1.00
46016,13.55,1.44919,2.46,1.00,0.00,1.00
46038,13.57,1.42939,2.45,1.00,0.00,1.00
46059,13.59,1.40935,2.38,1.00,0.00,1.00
46081,13.61,1.38931,2.36,1.00,0.00,1.00
46102,13.63,1.36928,2.30,1.00,0.00,1.00
46124,13.65,1.34924,2.26,1.00,0.00,1.00
46144,13.67,1.32920,2.22,1.00,0.00,1.00
46166,13.69,1.30916,2.20,1.00,0.00,1.00
46187,13.71,1.28888,2.14,1.00,0.00,1.00
46209,13.73,1.26885,2.12,1.00,0.00,1.00
46230,13.75,1.24881,2.04,1.00,0.00,1.00
46251,13.77,1.22853,2.04,1.00,0.00,1.00
46272,13.79,1.20849,1.98,1.00,0.00,1.00
46294,13.81,1.18845,1.96,1.00,0.00,1.00
46315,13.83,1.16842,1.90,1.00,0.00,1.00
46337,13.85,1.14838,1.88,1.00,0.00,1.00
46358,13.87,1.12834,1.80,1.00,0.00,1.00
46379,13.89,1.10830,1.80,1.00,0.00,1.00
46400,13.91,1.08826,1.74,1.00,0.00,1.00
46422,13.93,1.06822,1.72,1.00,0.00,1.00
46443,13.95,1.04819,1.66,1.00,0.00,1.00
46465,13.97,1.02815,1.62,1.00,0.00,1.00
46486,13.99,1.00811,1.58,1.00,0.00,1.00
46507,14.01,0.98807,1.56,1.00,0.00,1.00
46528,14.03,0.96780,1.49,1.00,0.00,1.00
46550,14.05,0.94776,1.48,1.00,0.00,1.00
46571,14.07,0.92772,1.42,1.00,0.00,1.00
46593,14.09,0.90744,1.37,1.00,0.00,1.00
46613,14.11,0.88740,1.34,1.00,0.00,1.00
46635,14.13,0.86737,1.32,1.00,0.00,1.00
46656,14.15,0.84709,1.25,1.00,0.00,1.00
46678,14.17,0.82705,1.24,1.00,0.00,1.00
46699,14.19,0.80701,1.18,1.00,0.00,1.00
46721,14.21,0.78697,1.14,1.00,0.00,1.00
46741,14.23,0.76694,1.10,1.00,0.00,1.00
46763,14.25,0.74690,1.08,1.00,0.00,1.00
46784,14.27,0.72662,1.01,1.00,0.00,1.00
46806,14.29,0.70658,1.00,1.00,-0.06,1.00
46827,14.31,0.68583,0.92,0.92,-3.81,0.92
46849,14.33,0.66531,0.91,0.91,-0.60,0.91
46871,14.35,0.64504,0.87,0.87,-1.59,0.87
46893,14.38,0.62500,0.84,0.84,-1.57,0.84
46914,14.39,0.60544,0.79,0.79,-2.35,0.79
46937,14.41,0.58659,0.80,0.80,0.80,0.80
46958,14.43,0.56894,0.74,0.74,-3.34,0.74
46980,14.45,0.55105,0.75,0.75,0.72,0.75
47001,14.47,0.53435,0.71,0.71,-2.00,0.71
47023,14.48,0.51765,0.70,0.70,-0.70,0.70
47044,14.50,0.50167,0.66,0.66,-1.57,0.66
47067,14.51,0.48593,0.67,0.67,0.29,0.67
47088,14.53,0.47114,0.61,0.61,-2.85,0.61
47110,14.54,0.45658,0.64,0.64,1.06,0.64
47131,14.56,0.44275,0.58,0.58,-2.86,0.58
47153,14.57,0.42891,0.60,0.60,0.76,0.60
47174,14.58,0.41603,0.57,0.57,-1.51,0.57
47196,14.60,0.40315,0.55,0.55,-0.54,0.55
47218,14.61,0.39051,0.52,0.52,-1.59,0.52
47240,14.62,0.37834,0.53,0.53,0.53,0.53
47261,14.63,0.36689,0.49,0.49,-2.23,0.49
47283,14.64,0.35544,0.50,0.50,0.63,0.50
47304,14.66,0.34470,0.47,0.47,-1.34,0.47
47326,14.67,0.33421,0.47,0.47,-0.18,0.47
47347,14.68,0.32371,0.44,0.44,-1.54,0.44
47370,14.69,0.31369,0.45,0.45,0.53,0.45
47391,14.70,0.30415,0.41,0.41,-1.99,0.41
47413,14.71,0.29485,0.43,0.43,0.77,0.43
47434,14.71,0.28602,0.40,0.40,-1.22,0.40
47456,14.72,0.27719,0.39,0.39,-0.37,0.39
47477,14.73,0.26861,0.37,0.37,-1.00,0.37
47500,14.74,0.26026,0.38,0.38,0.27,0.38
47521,14.75,0.25239,0.35,0.35,-1.55,0.35
47543,14.76,0.24475,0.36,0.36,0.68,0.36
47564,14.76,0.23736,0.34,0.34,-1.18,0.34
47586,14.77,0.22996,0.33,0.33,-0.31,0.33
47607,14.78,0.22281,0.32,0.32,-0.79,0.32
47630,14.78,0.21613,0.32,0.32,0.24,0.32
47651,14.79,0.20969,0.31,0.31,-0.68,0.31
47673,14.80,0.20324,0.31,0.31,0.02,0.31
47694,14.80,0.19704,0.28,0.28,-1.37,0.28
47716,14.81,0.19108,0.29,0.29,0.59,0.29
47737,14.81,0.18535,0.28,0.28,-0.86,0.28
47759,14.82,0.17963,0.27,0.27,-0.24,0.27
47780,14.83,0.17390,0.25,0.25,-0.84,0.25
47803,14.83,0.16865,0.26,0.26,0.51,0.26
47824,14.84,0.16341,0.24,0.24,-1.38,0.24
47846,14.84,0.15840,0.25,0.25,0.53,0.25
47867,14.85,0.15363,0.23,0.23,-0.68,0.23
47889,14.85,0.14886,0.23,0.23,-0.20,0.23
47910,14.86,0.14432,0.22,0.22,-0.41,0.22
47933,14.86,0.13979,0.22,0.22,0.01,0.22
47954,14.86,0.13573,0.21,0.21,-0.55,0.21
47976,14.87,0.13144,0.21,0.21,-0.02,0.21
47997,14.87,0.12739,0.20,0.20,-0.54,0.20
48020,14.88,0.12357,0.20,0.20,0.10,0.20
48040,14.88,0.11975,0.19,0.19,-0.56,0.19
48063,14.88,0.11617,0.20,0.20,0.26,0.20
48084,14.89,0.11260,0.18,0.18,-0.94,0.18
48106,14.89,0.10902,0.18,0.18,0.20,0.18
48128,14.89,0.10592,0.18,0.18,-0.30,0.18
48149,14.90,0.10258,0.17,0.17,-0.08,0.17
48171,14.90,0.09947,0.17,0.17,-0.19,0.17
48193,14.90,0.09637,0.16,0.16,-0.45,0.16
48215,14.91,0.09351,0.17,0.17,0.25,0.17
48236,14.91,0.09065,0.15,0.15,-0.55,0.15
48258,14.91,0.08779,0.15,0.15,-0.12,0.15
48279,14.91,0.08516,0.15,0.15,-0.13,0.15
48302,14.92,0.08254,0.15,0.15,0.01,0.15
48323,14.92,0.07991,0.14,0.14,-0.69,0.14
48345,14.92,0.07753,0.14,0.14,0.39,0.14
48366,14.92,0.07514,0.13,0.13,-0.46,0.13
48388,14.93,0.07300,0.14,0.14,0.17,0.14
48409,14.93,0.07061,0.13,0.13,-0.61,0.13
48431,14.93,0.06846,0.13,0.13,0.17,0.13
48452,14.93,0.06656,0.13,0.13,-0.02,0.13
48474,14.94,0.06441,0.12,0.12,-0.35,0.12
48496,14.94,0.06250,0.12,0.12,0.07,0.12
48518,14.94,0.06035,0.11,0.11,-0.57,0.11
48539,14.94,0.05844,0.11,0.11,0.18,0.11
48561,14.94,0.05678,0.11,0.11,0.01,0.11
48581,14.94,0.05511,0.11,0.11,-0.16,0.11
48604,14.95,0.05320,0.11,0.11,-0.24,0.11
48625,14.95,0.05153,0.10,0.10,-0.08,0.10
48647,14.95,0.05010,0.11,0.11,0.20,0.11
48668,14.95,0.04843,0.10,0.10,-0.50,0.10
48691,14.95,0.04699,0.10,0.10,0.20,0.10
48711,14.95,0.04556,0.10,0.10,-0.21,0.10
48734,14.96,0.04413,0.10,0.10,0.00,0.10
48755,14.96,0.04270,0.09,0.09,-0.37,0.09
48777,14.96,0.04127,0.09,0.09,0.08,0.09
48798,14.96,0.03984,0.09,0.09,-0.28,0.09
48820,14.96,0.03864,0.09,0.09,0.21,0.09
48841,14.96,0.03721,0.08,0.08,-0.47,0.08
48863,14.96,0.03602,0.09,0.09,0.21,0.09
48884,14.97,0.03483,0.08,0.08,-0.18,0.08
48906,14.97,0.03387,0.09,0.09,0.22,0.09
48927,14.97,0.03268,0.08,0.08,-0.43,0.08
48950,14.97,0.03173,0.08,0.08,0.22,0.08
48970,14.97,0.03053,0.07,0.07,-0.43,0.07
48993,14.97,0.02958,0.08,0.08,0.22,0.08
49013,14.97,0.02863,0.08,0.08,-0.14,0.08
49036,14.97,0.02767,0.08,0.08,0.00,0.08
49057,14.97,0.02672,0.07,0.07,-0.25,0.07
49079,14.97,0.02576,0.07,0.07,0.05,0.07
49100,14.97,0.02505,0.07,0.07,0.11,0.07
49122,14.98,0.02409,0.07,0.07,-0.36,0.07
49143,14.98,0.02314,0.07,0.07,-0.04,0.07
49165,14.98,0.02242,0.07,0.07,0.18,0.07
49186,14.98,0.02171,0.07,0.07,-0.10,0.07
49208,14.98,0.02099,0.07,0.07,-0.03,0.07
49230,14.98,0.02004,0.06,0.06,-0.33,0.06
49252,14.98,0.01956,0.07,0.07,0.45,0.07
49273,14.98,0.01885,0.06,0.06,-0.36,0.06
49295,14.98,0.01813,0.06,0.06,-0.03,0.06
49317,14.98,0.01741,0.06,0.06,-0.10,0.06
49339,14.98,0.01670,0.06,0.06,0.00,0.06
49360,14.98,0.01622,0.06,0.06,0.13,0.06
49382,14.98,0.01551,0.06,0.06,-0.26,0.06
49403,14.98,0.01503,0.06,0.06,0.20,0.06
49425,14.99,0.01455,0.06,0.06,-0.07,0.06
49446,14.99,0.01407,0.06,0.06,-0.02,0.06
49468,14.99,0.01336,0.05,0.05,-0.31,0.05
49490,14.99,0.01288,0.06,0.06,0.19,0.06
49511,14.99,0.01240,0.05,0.05,-0.02,0.05
49533,14.99,0.01193,0.05,0.05,-0.04,0.05
49555,14.99,0.01169,0.06,0.06,0.22,0.06
49576,14.99,0.01121,0.05,0.05,-0.33,0.05
49598,14.99,0.01050,0.05,0.05,-0.29,0.05
49620,14.99,0.01002,0.05,0.05,0.19,0.05
49641,14.99,0.00978,0.06,0.06,0.25,0.06
49662,14.99,0.00930,0.05,0.05,-0.33,0.05
49685,14.99,0.00883,0.05,0.05,-0.02,0.05
49707,14.99,0.00835,0.05,0.05,-0.02,0.05
49728,14.99,0.00811,0.05,0.05,0.20,0.05
49750,14.99,0.00763,0.05,0.05,-0.28,0.05
49771,14.99,0.00739,0.05,0.05,0.22,0.05
49793,14.99,0.00739,0.06,0.06,0.26,0.06
49814,14.99,0.00716,0.05,0.05,-0.29,0.05
49836,14.99,0.00716,0.06,0.06,0.26,0.06
49857,14.99,0.00716,0.06,0.06,0.00,0.06
49879,14.99,0.00692,0.05,0.05,-0.27,0.05
49900,14.99,0.00644,0.04,0.04,-0.33,0.04
49923,14.99,0.00596,0.04,0.04,-0.02,0.04
49944,14.99,0.00549,0.04,0.04,-0.04,0.04
49966,14.99,0.00525,0.05,0.05,0.22,0.05
49987,14.99,0.00501,0.05,0.05,-0.03,0.05
50009,15.00,0.00477,0.05,0.05,-0.01,0.05
50031,15.00,0.00477,0.05,0.05,0.25,0.05
50053,15.00,0.00477,0.05,0.05,0.00,0.05
50073,15.00,0.00477,0.05,0.05,0.00,0.05
50095,15.00,0.00477,0.05,0.05,0.00,0.05
50116,15.00,0.00477,0.05,0.05,0.00,0.05
50138,15.00,0.00477,0.05,0.05,0.00,0.05
50159,15.00,0.00477,0.05,0.05,0.00,0.05
50180,15.00,0.00477,0.05,0.05,0.00,0.05
50201,15.00,0.00477,0.05,0.05,0.00,0.05
50223,15.00,0.00477,0.05,0.05,0.00,0.05
50244,15.00,0.00477,0.05,0.05,0.00,0.05
50266,15.00,0.00477,0.05,0.05,0.00,0.05
50287,15.00,0.00477,0.05,0.05,0.00,0.05
50308,15.00,0.00477,0.05,0.05,0.00,0.05
50329,15.00,0.00477,0.05,0.05,0.00,0.05
50351,15.00,0.00477,0.05,0.05,0.00,0.05
50372,15.00,0.00477,0.05,0.05,0.00,0.05
50394,15.00,0.00477,0.05,0.05,0.00,0.05
50414,15.00,0.00477,0.05,0.05,0.00,0.05
50436,15.00,0.00477,0.05,0.05,0.00,0.05
50457,15.00,0.00477,0.05,0.05,0.00,0.05
50479,15.00,0.00477,0.05,0.05,0.00,0.05
50500,15.00,0.00477,0.05,0.05,0.00,0.05
50522,15.00,0.00477,0.05,0.05,0.00,0.05
50542,15.00,0.00477,0.05,0.05,0.00,0.05
50564,15.00,0.00477,0.05,0.05,0.00,0.05
50585,15.00,0.00477,0.05,0.05,0.00,0.05
50607,15.00,0.00477,0.05,0.05,0.00,0.05
50628,15.00,0.00477,0.05,0.05,0.00,0.05
50650,15.00,0.00477,0.05,0.05,0.00,0.05
50670,15.00,0.00477,0.05,0.05,0.00,0.05
50692,15.00,0.00477,0.05,0.05,0.00,0.05
50713,15.00,0.00477,0.05,0.05,0.00,0.05
50735,15.00,0.00477,0.05,0.05,0.00,0.05
50756,15.00,0.00477,0.05,0.05,0.00,0.05
50777,15.00,0.00477,0.05,0.05,0.00,0.05
50798,15.00,0.00477,0.05,0.05,0.00,0.05
50820,15.00,0.00477,0.05,0.05,0.00,0.05
50841,15.00,0.00477,0.05,0.05,0.00,0.05
50863,15.00,0.00477,0.05,0.05,0.00,0.05
50884,15.00,0.00477,0.05,0.05,0.00,0.05
50905,15.00,0.00477,0.05,0.05,0.00,0.05
50926,15.00,0.00477,0.05,0.05,0.00,0.05
50948,15.00,0.00477,0.05,0.05,0.00,0.05
50969,15.00,0.00477,0.05,0.05,0.00,0.05
50991,15.00,0.00477,0.05,0.05,0.00,0.05
51011,15.00,0.00477,0.05,0.05,0.00,0.05
51033,15.00,0.00477,0.05,0.05,0.00,0.05
51054,15.00,0.00477,0.05,0.05,0.00,0.05
51076,15.00,0.00477,0.05,0.05,0.00,0.05
51097,15.00,0.00477,0.05,0.05,0.00,0.05
51119,15.00,0.00477,0.05,0.05,0.00,0.05
51139,15.00,0.00477,0.05,0.05,0.00,0.05
